objectid,apn,locapn,genplan,zoning,gacres,locacres,allowden,allowhigh,relcapcty,sitetype,pdaparcel,existuse,Shape__Are,Shape__Len,geometry
59999,3548/029,3548/029,Mission,UMU,0.046,0.04591351298,,0,2.0,Vacant,Y,Vacant,1.9001618e-08,0.00061294496706,"POLYGON ((-122.419239933 37.766802833, -122.419260909 37.7670219070001, -122.419174669 37.7670271150001, -122.419153694 37.766808041, -122.419239933 37.766802833))"
60195,3548/030,3548/030,Mission,UMU,0.046,0.04591377817,,0,2.0,Vacant,Y,Vacant,1.9002073e-08,0.000612947116324,"POLYGON ((-122.419239933 37.766802833, -122.419326173 37.766797624, -122.419347149 37.7670166990001, -122.419260909 37.7670219070001, -122.419239933 37.766802833))"
60268,3548/033,3548/033,Mission,NCT,0.183,0.18334641009,,0,17.0,Vacant,Y,Vacant,7.5882326e-08,0.001379129667224,"POLYGON ((-122.419193021 37.7672188080001, -122.419744033 37.767185527, -122.419757144 37.7673224490001, -122.41920613 37.767355729, -122.419193021 37.7672188080001))"
60344,3548/037,3548/037,Mission,NCT,0.055,0.05491143373,,0,8.0,Vacant,Y,Vacant,2.2727363e-08,0.000716150156208,"POLYGON ((-122.419513563 37.767667675, -122.419788608 37.767651062, -122.419796475 37.7677332150001, -122.41952143 37.767749828, -122.419513563 37.767667675))"
60367,3553/035,3553/035,Mission,RTO,0.034,0.03443518543,,0,3.0,Vacant,Y,Vacant,1.4251327e-08,0.000502908328632,"POLYGON ((-122.418091835 37.7655112360001, -122.418178073 37.7655060280001, -122.418193802 37.765670335, -122.418107562 37.765675543, -122.418091835 37.7655112360001))"
60387,4827/002,4827/002,"BVHP Area A,B",PDR-2,0.033,0.03274501653,0.0,0,0.0,Vacant,Y,Vacant,1.3544195e-08,0.000533983128681,"POLYGON ((-122.385686941 37.7245322740001, -122.385833359 37.724615382, -122.385701395 37.72472549, -122.385686941 37.7245322740001))"
65574,0324/005,0324/005,Downtown,RC-4,0.118,0.11843188721,194.20445407,194,23.0,Vacant,Y,Vacant,4.9027676e-08,0.001019501329786,"POLYGON ((-122.41175795 37.7851000910001, -122.411886084 37.785083808, -122.411961414 37.785456885, -122.411834533 37.7854729630001, -122.411833269 37.7854731240001, -122.41175795 37.7851000910001))"
65592,0323/010,0323/010,Downtown,RC-4,0.102,0.10192854701,186.40509021,186,19.0,Underutilized,Y,Office Bld,4.2195097e-08,0.000918832655332,"POLYGON ((-122.413478295 37.7848797790001, -122.413604714 37.784863683, -122.413670425 37.7851890910001, -122.413544005 37.785205187, -122.413478295 37.7848797790001))"
65615,2082/001K,2082/001K,Outer Sunset,NC-1,0.053,0.05337474639,37.470904037,37,2.0,Underutilized,,Commercial,2.2086169e-08,0.000684116238434,"POLYGON ((-122.504814054 37.7526110810001, -122.504856436 37.752609202, -122.504900392 37.7526072540001, -122.504905126 37.75267581, -122.50490986 37.7527443660001, -122.504918004 37.752862281, -122.504831664 37.752866108, -122.504814054 37.7526110810001))"
66739,0667/004,0667/004,Northeast,NC,0.093,0.09331967344,,0,10.0,Underutilized,Y,Office Bld,3.8633516e-08,0.0008973391281,"POLYGON ((-122.420755387 37.788744088, -122.42087113 37.7887293250001, -122.420937015 37.7890547100001, -122.420821272 37.789069474, -122.420755387 37.788744088))"
66776,0013/010,0013/010,Northeast,C-2,0.086,0.08608817491,11.615997215,12,1.0,Underutilized,Y,Misc/unknown,3.5649009e-08,0.000759528702659,"POLYGON ((-122.414420364 37.8075275310001, -122.414591318 37.8075061120001, -122.414632219 37.8077095140001, -122.414461263 37.807730932, -122.414420364 37.8075275310001))"
66777,0021/001,0021/001,Northeast,C-2,2.586,2.587667642,14.685038907,15,38.0,Underutilized,Y,Club/lodge,1.071530733e-06,0.00435109490018,"POLYGON ((-122.413936179 37.8066374840001, -122.415344395 37.806455597, -122.415492393 37.8072013670001, -122.414087748 37.807377359, -122.413936179 37.8066374840001))"
