,Permit.Number,Permit.Type,Permit.Subtype,Status,Description,Site.Address,APN,Applied,Issued,Finaled,Address,RHNA.Date,Applied.Year,lon,lat,Total,Demolition,net
1,1996-630232,MULTI FAMILY,CONDOMINIUM,FINALED,Condo,540 GABILAN ST,17038093,1996-08-01,1996-10-31,1997-08-21,540 GABILAN,1996,1996,-122.1108324,37.3733156,,,
2,2006-648097,MULTI FAMILY,NULL,FINALED,Town Homes,4388 EL CAMINO REAL,16711062,2006-04-14,2007-09-25,2009-06-04,4388 EL CAMINO,2007,2006,-122.1176487,37.4034856,,,
3,2007-649844,MIXED USE,NULL,PENDING,Test,0 N AVALON DR,17022013,2007-04-09,NA,NA,0 AVALON DR,NA,2007,-122.1045739,37.3850086,,,
4,2008-654927,MULTI FAMILY,NULL,FINALED,Townhouse,58 CUESTA DR,17048024,2008-10-13,2010-03-05,2010-11-02,58 CUESTA DR,2010,2008,-122.113517,37.373805,,,
5,2008-654928,MULTI FAMILY,NULL,FINALED,Townhome,62 CUESTA DR,17048025,2008-10-13,2010-03-05,2010-10-29,62 CUESTA DR,2010,2008,-122.1134701,37.3738076,,,
6,2008-654929,MULTI FAMILY,NULL,FINALED,Townhome,68 CUESTA DR,17048026,2008-10-13,2010-03-05,2010-10-22,68 CUESTA DR,2010,2008,-122.1133831,37.3738136,,,
7,2008-654930,MULTI FAMILY,NULL,FINALED,Townhome,502 TYNDALL ST,17048027,2008-10-13,2010-03-05,2010-10-20,502 TYNDALL,2010,2008,-122.113251,37.373799,,,
8,2008-654931,MULTI FAMILY,NULL,FINALED,Townhome,508 TYNDALL ST,17048028,2008-10-13,2010-03-05,2010-11-03,508 TYNDALL,2010,2008,-122.113238,37.373682,,,
9,2008-654932,MULTI FAMILY,NULL,FINALED,Townhome,512 TYNDALL ST,17048029,2008-10-13,2010-03-05,2010-10-22,512 TYNDALL,2010,2008,-122.1133324,37.3736793,,,
10,2008-654933,MULTI FAMILY,NULL,FINALED,Townhome,518 TYNDALL ST,17048030,2008-10-13,2010-03-05,2010-10-28,518 TYNDALL,2010,2008,-122.1134158,37.3736792,,,
11,2008-654934,MULTI FAMILY,NULL,FINALED,Townhome,522 TYNDALL ST,17048031,2008-10-13,2010-03-05,2010-10-28,522 TYNDALL,2010,2008,-122.113523,37.373685,,,
12,2008-652274,MULTI FAMILY,NULL,ISSUED,8 Townhouses,510 TYNDALL ST,17038049,2008-10-13,2010-03-05,NA,510 TYNDALL,2010,2008,-122.113396,37.37382,,,
13,2008-653031,MULTI FAMILY,NULL,FINALED,Tri-Plex,569 LASSEN ST,17038024,2008-12-23,2010-01-04,2011-03-24,569 LASSEN,2010,2008,-122.111528,37.372871,,,
14,2009-653381,MIXED USE,NULL,FINALED,New Mixed Use Bldg,960 N SAN ANTONIO RD,16716062,2009-05-05,2010-06-29,2014-04-10,960 SAN ANTONIO,2010,2009,-122.1154363,37.3992718,,,
15,2010-655424,MULTI FAMILY,NULL,FINALED,Re- Pipe,1070 MERCEDES AV 19,16746019,2010-06-09,2010-06-14,2010-09-09,1070 MERCEDES AV 19,2010,2010,-122.1181874,37.4020712,,,
16,2010-655550,MIXED USE,NULL,FINALED,Prkg/Storage,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
17,2010-655668,MIXED USE,NULL,FINALED,Building 1,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
18,2010-655669,MIXED USE,NULL,FINALED,Building 2,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
19,2010-655670,MIXED USE,NULL,FINALED,Building 3,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
20,2010-655671,MIXED USE,NULL,FINALED,Building 4,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
21,2010-655672,MIXED USE,NULL,FINALED,Building 5,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
22,2010-655673,MIXED USE,NULL,FINALED,Building 6,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
23,2010-655674,MIXED USE,NULL,FINALED,Building 7,960 N SAN ANTONIO RD,16716062,2010-07-06,2010-07-06,2013-06-24,960 SAN ANTONIO,2010,2010,-122.1154363,37.3992718,,,
24,2010-655885,MULTI FAMILY,NULL,FINALED,Condominium,960 N SAN ANTONIO RD 121,16762001,2010-09-08,2010-09-08,2013-06-24,960 SAN ANTONIO RD 121,2010,2010,-122.1154363,37.3992718,,,
25,2010-655889,MULTI FAMILY,NULL,FINALED,Condominium,960 N SAN ANTONIO RD 122,16716047,2010-09-08,2010-09-08,2013-06-24,960 SAN ANTONIO RD 122,2010,2010,-122.1154363,37.3992718,,,
26,2010-655890,MULTI FAMILY,NULL,FINALED,Condominium,960 N SAN ANTONIO RD 123,16762003,2010-09-08,2010-09-08,2013-06-24,960 SAN ANTONIO RD 123,2010,2010,-122.1154363,37.3992718,,,
27,2010-655891,MULTI FAMILY,NULL,FINALED,Condominium,960 N SAN ANTONIO RD 124,16762004,2010-09-08,2010-09-08,2013-06-24,960 SAN ANTONIO RD 124,2010,2010,-122.1148529,37.3992708,,,
28,2010-655892,MULTI FAMILY,NULL,FINALED,Condominium,960 N SAN ANTONIO RD 125,16762005,2010-09-08,2010-09-08,2013-06-24,960 SAN ANTONIO RD 125,2010,2010,-122.1154363,37.3992718,,,
