id,type,subtype,status,description,address,apn,applied,issued,final,demolished,new,totalunit,permyear
2015-663980,SFD,,FINALED,New SFD,639 ALMOND AV,17032039.0,2015-02-05,2015-05-28,2017-03-17,0,1.0,1.0,2015.0
2015-663891,MIXED USE,,FINALED,New Mixed Use Build,895 N SAN ANTONIO RD,17001102.0,2015-02-06,2015-11-10,2018-10-17,0,1.0,1.0,2015.0
2015-665465,SFD,,FINALED,New 2 Story SFD,181 ALVARADO AV,17012004.0,2015-10-20,2016-02-11,2017-04-26,0,1.0,1.0,2016.0
2016-665885,ADU,,FINALED,2nd Living Unit,1198 RICHARDSON AV,31802013.0,2016-01-11,2016-03-18,2017-02-24,0,1.0,1.0,2016.0
2016-666054,MULTI FAMILY,,ISSUED,TerracesPH3-Bld#A (W),373 PINE LN,16724041.0,2016-02-10,2016-02-10,,1,1.0,0.0,2016.0
2016-666056,MULTI FAMILY,,FINALED,TerracesPH3-Bld#A(E),373 PINE LN,16724041.0,2016-02-10,2016-02-10,2017-03-13,0,1.0,1.0,2016.0
2016-666057,MULTI FAMILY,,ISSUED,TerracesPH3-Bld#B,373 PINE LN,16724041.0,2016-02-10,2016-02-10,,0,1.0,1.0,2016.0
2016-666058,MULTI FAMILY,,FINALED,Terraces PH3 Bld#C,373 PINE LN,16724041.0,2016-02-10,2016-02-10,2017-03-13,0,1.0,1.0,2016.0
2016-665953,ADU,,FINALED,2nd Liv Unit,25 DOUD DR,17031031.0,2016-02-10,2016-03-15,2016-11-22,0,1.0,1.0,2016.0
2016-666188,SFD,,FINALED,SFD,349 BLUE OAK,16734001.0,2016-03-04,2016-05-13,2016-11-09,0,1.0,1.0,2016.0
2016-666313,SFD,,FINALED,New 2 Story SFD,772 UNIVERSITY AV,17518040.0,2016-03-31,2016-07-19,2018-03-07,0,1.0,1.0,2016.0
2016-666315,SFD,,FINALED,SFD,434 ORANGE AV,17515054.0,2016-04-01,2016-06-03,2017-05-25,0,1.0,1.0,2016.0
2016-666677,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 201,16764010.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666678,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 202,16764011.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666679,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 203,16764012.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666680,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 204,16764013.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666681,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 205,16764014.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666682,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 206,16764015.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
