Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Supervisorial_Districts_Waterline_data_from_7pkg_wer3,apn,new_units
201911127017,1,new construction,2019-11-12,3505,027,53,V,Colton,St,,,"to erect 6 stories, 1 basement, type iii-a over i-a, 96 units residential with office, & assembly building. (r-2,b,a-3,s-2)(mayor exective dir# 13-01 & 17-02)",issued,2020-05-18,2019-11-12,2020-05-18,,2020-10-15,,,6.0,,,2026-05-18,25000000.0,25000000.0,,,apartments,96.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.772989452303506, -122.42002197344968)",1575662156259,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3505/027,96.0
201405307085,1,new construction,2014-05-30,3511,015,1532,,Howard,St,,,"erect 6-story, no basement, type 1, 15 dwelling units building. compliance w/ ordinance no. 155-13 not required.",complete,2019-02-26,2014-05-30,2016-12-22,2019-02-26,2017-09-15,,,6.0,,,2019-12-07,1500000.0,1645000.0,,,apartments,15.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.772817559587345, -122.4162842544792)",1343624156378,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3511/015,15.0
201608195545,1,new construction,2016-08-19,6571,051,1294,,Shotwell,St,,,"mayor's office housing project. to erect 9 stories, no basement, type 1a,  94 units residential senior apartment.",complete,2020-03-12,2016-08-19,2017-05-31,2020-03-12,2018-05-15,,,9.0,,,2023-04-30,33000000.0,33000000.0,,,apartments,94.0,2.0,,,,1.0,constr type 1,Y,9.0,Mission,94110.0,"(37.748649615450425, -122.41521581114877)",1434421505654,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,6571/051,94.0
201405286908,1,new construction,2014-05-28,3703,062,1075,,Market,St,,,"to erect 8 stories, 1 basement of 90 dwelling units with commercial, car stacker parking, roof deck.** maher: disturbance of at least 50 cu.yd. of soil. route to dph **",complete,2018-02-23,2014-05-28,2016-08-15,2018-02-23,2016-11-03,,,8.0,,,2022-07-15,27000000.0,27000000.0,,,apartments,90.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94103.0,"(37.780644163573946, -122.41161526145584)",1343396164349,32.0,5.0,10.0,34.0,28853.0,14.0,9.0,2.0,3.0,3703/062,90.0
201909262785,1,new construction,2019-09-26,3787,026,655,,04th,St,,,"tower 2. erect a 40 stories, 501 dwelling residential units. 3 basements building, type 1a mixed use (s-2,a-3,a-2,s-1,m,b,r-2,r-1)  ** maher: disturbance of at least 50 cu.yd.of soil, route to dph **",filed,2019-09-26,2019-09-26,,,,,,40.0,,,,182951076.0,,,,apartments,501.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94107.0,"(37.777702279139234, -122.39531875640252)",1569606167706,32.0,1.0,10.0,34.0,28856.0,6.0,9.0,2.0,3.0,3787/026,501.0
201909262783,1,new construction,2019-09-26,3787,026,655,,04th,St,,,"tower 1. to erect 40 stories, 3 basements, type i-a, 494 residential units with mixed used commercial. (r-2,m,a-2,a-3,s-1,s-2)** maher: yes, route to dph **",filed,2019-09-26,2019-09-26,,,,,,40.0,,,,166585635.0,,,,apartments,494.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94107.0,"(37.777702279139234, -122.39531875640252)",1569604167706,32.0,1.0,10.0,34.0,28856.0,6.0,9.0,2.0,3.0,3787/026,494.0
201512316248,1,new construction,2015-12-31,3965,032,2445,,16th,St,,,"erect 7 stories, 1 basement, type 1, 53 dwelling units, mix use bldg.",reinstated,2019-02-20,2015-12-31,2018-12-05,,,,,7.0,,,2024-11-03,11000000.0,16425575.0,,,apartments,53.0,2.0,,,,1.0,constr type 1,Y,9.0,Mission,94110.0,"(37.765320874662095, -122.41111997666536)",1408069487032,53.0,3.0,2.0,20.0,28859.0,8.0,7.0,7.0,7.0,3965/032,53.0
201512316248,1,new construction,2015-12-31,3965,031,2435,,16th,St,,,"erect 7 stories, 1 basement, type 1, 53 dwelling units, mix use bldg.",reinstated,2019-02-20,2015-12-31,2018-12-05,,,,,7.0,,,2024-11-03,11000000.0,16425575.0,,,apartments,53.0,2.0,,,,1.0,constr type 1,Y,9.0,Mission,94110.0,"(37.765320874662095, -122.41111997666536)",1408068487031,53.0,3.0,2.0,20.0,28859.0,8.0,7.0,7.0,7.0,3965/031,53.0
201702149384,1,new construction,2017-02-14,3754,038,1089,,Folsom,St,,,"to erect 6 stories, no basement, type i-a & iii-b, 48 residential units with retail, mix use building.",issued,2019-12-20,2017-02-14,2019-12-20,,,,,6.0,,,2025-01-10,4900000.0,6900000.0,,,apartments,48.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94103.0,"(37.77688888691567, -122.40723443800643)",1563891166283,32.0,1.0,10.0,34.0,28853.0,14.0,9.0,2.0,3.0,3754/038,48.0
201702149384,1,new construction,2017-02-14,3754,039,1075,,Folsom,St,,,"to erect 6 stories, no basement, type i-a & iii-b, 48 residential units with retail, mix use building.",issued,2019-12-20,2017-02-14,2019-12-20,,,,,6.0,,,2025-01-10,4900000.0,6900000.0,,,apartments,48.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94103.0,"(37.776961866475865, -122.40714287739145)",1563892166284,32.0,1.0,10.0,34.0,28853.0,14.0,9.0,2.0,3.0,3754/039,48.0
