Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
1995-627536	DEMOLITION	NULL	ISSUED	 	382 FIRST ST	16741005	3/22/1995	3/22/1995	NULL
1995-627599	DEMOLITION	NULL	ISSUED	PERMIT.	300 SPAGNOLI CT	16724033	4/4/1995	1/1/1980	NULL
1995-627667	DEMOLITION	NULL	FINALED	 Int Remodel -111 & 113	300 SECOND ST	16740043	4/17/1995	4/17/1995	4/24/1994
1995-627692	DEMOLITION	NULL	FINALED	 SFD	170 LOS ALTOS AV	16735074	4/20/1995	9/19/1995	4/11/1996
1995-627762	DEMOLITION	NULL	FINALED	 Demo	422 CHERRY AV	16727051	5/2/1995	5/2/1995	6/5/1995
1995-627834	DEMOLITION	NULL	FINALED	 Demo	67 DEL MONTE AV	16717076	5/15/1995	5/15/1995	5/30/1995
1995-627866	DEMOLITION	NULL	FINALED	Building Remodel	138 MAIN ST	16738019	5/18/1995	8/29/1995	11/3/1995
1995-627897	DEMOLITION	NULL	ISSUED	Interior Demo	138 MAIN ST	16738019	5/24/1995	5/24/1995	NULL
1995-627901	DEMOLITION	NULL	FINALED	 SFD	941 BERRY AV	18911070	5/24/1995	7/25/1995	8/27/1996
1995-628029	DEMOLITION	NULL	FINALED	 Demolition	466 TYNDALL ST	17039074	6/16/1995	6/16/1995	4/29/1996
1995-628068	DEMOLITION	NULL	ISSUED	Alteration	1212 S SPRINGER RD	18956014	6/22/1995	6/22/1995	NULL
1995-628202	DEMOLITION	NULL	ISSUED	 T.I.	388 MAIN ST	16739090	7/13/1995	9/5/1995	NULL
1995-628219	DEMOLITION	NULL	FINALED	Add/Remodel	396 FIRST ST	16741044	7/17/1995	9/18/1995	12/12/1996
1995-628243	DEMOLITION	NULL	FINALED	 Demolition	941 BERRY AV	18911070	7/20/1995	1/1/1980	3/8/2000
1995-628298	DEMOLITION	NULL	ISSUED	 	1037 CAMPBELL AV	18946038	8/2/1995	8/2/1995	NULL
1995-628309	DEMOLITION	NULL	ISSUED	 	745 PARMA WY	18942047	8/4/1995	8/4/1995	NULL
1995-628371	DEMOLITION	NULL	ISSUED	 Demolition	22 S SAN ANTONIO RD	16737220	8/16/1995	8/16/1995	NULL
