City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,,,0.67382472431805,0.5171492204899777,0.0,0.0,0.0,0.0,0.0,0 / 7,0 / 11,0 / 18
Albany,258.0,,,0.7701492537313432,0.6339066339066339,0.0,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.5,0.5,1.086021505376344,0.5401069518716578,0.009900990099009901,0.00980392156862745,0.013888888888888888,,0.013888888888888888,1 / 72,0 / 0,1 / 72
Belmont,149.0,1.0,1.0,0.31837606837606836,0.2933070866141732,0.04697986577181208,0.15217391304347827,0.0,0.1320754716981132,0.061946902654867256,0 / 11,7 / 53,7 / 113
Belvedere,4.0,1.0,1.0,0.25,0.23529411764705882,0.25,0.16666666666666666,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
Benicia,22.0,0.9819808141042261,0.931098696461825,0.0672782874617737,0.03669541140560105,0.22727272727272727,0.22727272727272727,,0.04081632653061224,0.04040404040404041,0 / 0,4 / 98,4 / 99
Berkeley,1594.0,1.4238971133867615,1.5668007622273976,0.5386955052382562,0.2967226480914069,0.04642409033877039,0.021341463414634148,0.011976047904191617,0.016877637130801686,0.01485148514851485,2 / 167,4 / 237,6 / 404
Brentwood,2312.0,2.0,2.0,3.042105263157895,2.1348107109879964,0.0008650519031141869,0.0008764241893076249,0.0,0.006060606060606061,0.005263157894736842,0 / 25,1 / 165,1 / 190
Brisbane,41.0,1.6041666666666667,1.3333333333333333,0.4939759036144578,0.05401844532279315,0.4878048780487805,0.5882352941176471,0.022950819672131147,0.043859649122807015,0.028639618138424822,7 / 305,5 / 114,12 / 419
Burlingame,474.0,5.278288740245262,5.823529411764706,0.5492468134414832,0.4121739130434783,0.8438818565400844,0.07272727272727272,0.04054054054054054,,0.05263157894736842,3 / 74,0 / 0,4 / 76
