City,Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,0.6489505785713121,0.5087108013937283,0.67382472431805,0.5171492204899777,0.5030146425495263,0.05263157894736842,0.14285714285714285,0.18181818181818182,0.2777777777777778,1 / 7,2 / 11,5 / 18
Albany,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.6821705426356589,0.02531645569620253,0.0,0.0,0.04878048780487805,0 / 17,0 / 8,2 / 41
American Canyon,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.0297029702970297,0.029411764705882353,0.027777777777777776,,0.041666666666666664,2 / 72,0 / 0,3 / 72
Belmont,1.0028169014084507,1.025,0.31837606837606836,0.2933070866141732,0.7651006711409396,0.2391304347826087,0.0,0.16981132075471697,0.09734513274336283,0 / 11,9 / 53,11 / 113
Belvedere,1.0,1.0,0.25,0.23529411764705882,0.25,0.16666666666666666,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
Benicia,0.9514221305536961,0.8771929824561403,0.0672782874617737,0.03669541140560105,0.45454545454545453,0.45454545454545453,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99
Berkeley,1.57230910507569,1.7785305949608299,0.5386955052382562,0.2967226480914069,0.05269761606022585,0.024390243902439025,0.011976047904191617,0.016877637130801686,0.01485148514851485,2 / 167,4 / 237,6 / 404
Brentwood,1.6654525162337661,1.2153846153846153,3.042105263157895,2.1348107109879964,0.1245674740484429,0.12620508326029797,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.02622950819672131,0.06140350877192982,0.0405727923627685,8 / 305,7 / 114,17 / 419
Burlingame,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,2.727272727272727,2.727272727272727,3.185185185185185,0.20187793427230047,0.37209302325581395,0.07894736842105263,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32
Campbell,3.047942927170868,2.108695652173913,0.44265809217577706,0.3619631901840491,0.7046004842615012,0.24,0.10091743119266056,0.16666666666666666,0.11023622047244094,11 / 109,2 / 12,14 / 127
Clayton,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,1.1471014492753624,0.9090909090909091,0.5402843601895735,0.20577617328519857,0.3508771929824561,0.23076923076923078,0.09090909090909091,0.2413793103448276,0.12903225806451613,1 / 11,7 / 29,8 / 62
Colma,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.88,0.08333333333333333,,,1.0,0 / 0,0 / 0,1 / 1
Concord,0.6555555555555556,0.5666666666666667,0.06469235192639448,0.05660377358490566,0.13333333333333333,0.25157232704402516,0.020833333333333332,0.1282051282051282,0.06775067750677506,2 / 96,10 / 78,25 / 369
Corte Madera,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,,,0.583941605839416,0.09019165727170236,0.5375,0.6231884057971014,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3788732394366197,0.13168724279835392,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,1.0942548110689703,2.042682926829268,0.9784560143626571,0.6646341463414634,0.6935779816513762,0.340080971659919,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
Dixon,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
Dublin,0.968013468013468,0.3179190751445087,1.6389496717724288,1.1393367812595072,0.014686248331108143,0.0017130620985010706,0.037037037037037035,0.041666666666666664,0.038461538461538464,2 / 54,1 / 24,3 / 78
East Palo Alto,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
