,City,Mean underproduction,RHNA Success,P(inventory) for homes built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
0,Berkeley,1.2554228350400711,0.6323082122338628,0.040619989310529125,0.017964071856287425,0.02531645569620253,0.022277227722772276,3 / 167,6 / 237,9 / 404
1,Albany,,0.7701492537313432,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41
2,Alameda,,0.6970400464306442,0.0,0.14285714285714285,0.2727272727272727,0.2222222222222222,1 / 7,3 / 11,4 / 18
3,Livermore,1.2383854772109975,0.7299377061194576,0.24497991967871485,0.09574468085106383,0.23300970873786409,0.16336633663366337,9 / 94,24 / 103,33 / 202
4,Fremont,0.4375404080104441,1.1035747021081577,0.11212624584717608,0.04964539007092199,0.09523809523809523,0.05555555555555555,7 / 141,2 / 21,9 / 162
5,San Ramon,0.8571428571428571,1.36908962597036,0.009278350515463918,0.0,0.0,0.005263157894736842,0 / 30,0 / 4,1 / 190
6,Newark,,1.1103896103896105,0.000835421888053467,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
7,Brentwood,2.0,3.5776315789473685,0.000735564545788893,0.04,0.08484848484848485,0.07894736842105263,1 / 25,14 / 165,15 / 190
8,Hayward,0.29370300751879697,0.5877551020408164,0.020399305555555556,0.17543859649122806,0.05263157894736842,0.09836065573770492,10 / 57,2 / 38,18 / 183
9,Emeryville,0.29411764705882354,0.38651535380507346,0.008635578583765112,0.0,0.0,0.04,0 / 5,0 / 3,2 / 50
10,Pleasanton,0.9289749798224375,1.0270924044508951,0.3301931229392369,0.25,0.27586206896551724,0.22058823529411764,3 / 12,8 / 29,15 / 68
11,San Leandro,1.0,0.06034105815478793,0.007246376811594203,0.0,0.029411764705882353,0.007142857142857143,0 / 53,1 / 34,1 / 140
12,Concord,0.5388888888888889,0.06900517538815411,0.04583333333333333,0.020833333333333332,0.16666666666666666,0.07046070460704607,2 / 96,13 / 78,26 / 369
13,Richmond,1.0303255067907615,0.40492813141683776,0.005070993914807302,,0.02242152466367713,0.02242152466367713,0 / 0,5 / 223,5 / 223
14,Martinez,1.0,0.3283582089552239,0.01948051948051948,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
15,Clayton,0.022727272727272728,0.07092198581560284,0.1,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
16,Pinole,1.0,0.04377104377104377,0.07692307692307693,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
17,Oakland,1.9841584456045993,1.2998306806637319,0.19654022509378907,,,0.06956521739130435,0 / 0,0 / 0,24 / 345
18,San Francisco,4.676238624535908,0.9030794277598808,0.19481416132867937,0.029885057471264367,0.04705003734129948,0.03425961172440046,117 / 3915,63 / 1339,180 / 5254
19,Dublin,1.2853535353535352,2.1260393873085337,0.008645533141210375,0.037037037037037035,0.041666666666666664,0.038461538461538464,2 / 54,1 / 24,3 / 78
20,Antioch,,0.4986187845303867,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
21,Lafayette,0.875,0.7825,0.23003194888178913,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
22,Danville,1.5440019665683382,1.0161579892280073,0.5477031802120141,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
23,San Pablo,1.0,0.18930957683741648,0.011764705882352941,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
24,Napa,1.3666666666666667,1.2395209580838322,0.03961352657004831,0.10810810810810811,0.11904761904761904,0.09090909090909091,4 / 37,5 / 42,9 / 99
25,El Cerrito,,1.085427135678392,0.009259259259259259,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
