City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.6697839119046455,0.5653310104529616,0.67382472431805,0.5171492204899777,0.5590008613264428,0.06015037593984962,0.2857142857142857,0.2727272727272727,0.2777777777777778,2 / 7,3 / 11,5 / 18
Albany,258.0,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.7403100775193798,0.16455696202531644,0.058823529411764705,0.125,0.07317073170731707,1 / 17,1 / 8,3 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.0297029702970297,0.029411764705882353,0.041666666666666664,,0.041666666666666664,3 / 72,0 / 0,3 / 72
Belmont,149.0,1.0028169014084507,1.025,0.31837606837606836,0.2933070866141732,0.7651006711409396,0.2391304347826087,0.09090909090909091,0.16981132075471697,0.09734513274336283,1 / 11,9 / 53,11 / 113
Belvedere,4.0,1.0,1.0,0.25,0.23529411764705882,0.25,0.16666666666666666,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
Benicia,22.0,0.9062304602686696,0.8547008547008547,0.0672782874617737,0.03669541140560105,0.5,0.5,,0.061224489795918366,0.06060606060606061,0 / 0,6 / 98,6 / 99
Berkeley,1594.0,1.6792318288067676,1.787527930123908,0.5386955052382562,0.2967226480914069,0.05520702634880803,0.036585365853658534,0.011976047904191617,0.02531645569620253,0.019801980198019802,2 / 167,6 / 237,8 / 404
Brentwood,2312.0,1.6654525162337661,1.2153846153846153,3.042105263157895,2.1348107109879964,0.1258650519031142,0.12751971954425942,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,41.0,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.03278688524590164,0.06140350877192982,0.0405727923627685,10 / 305,7 / 114,17 / 419
Burlingame,474.0,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,86.0,2.8181818181818183,2.8181818181818183,3.185185185185185,0.20187793427230047,0.38372093023255816,0.10526315789473684,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32
Campbell,413.0,2.79195006127451,2.0492957746478875,0.44265809217577706,0.3619631901840491,0.7046004842615012,0.24,0.12844036697247707,0.16666666666666666,0.12598425196850394,14 / 109,2 / 12,16 / 127
Clayton,10.0,0.5113636363636364,0.14,0.07092198581560284,0.03816793893129771,0.7,0.6363636363636364,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,1.1471014492753624,0.9090909090909091,0.5402843601895735,0.20577617328519857,0.3508771929824561,0.23076923076923078,0.09090909090909091,0.2413793103448276,0.12903225806451613,1 / 11,7 / 29,8 / 62
Colma,75.0,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.88,0.08333333333333333,,,1.0,0 / 0,0 / 0,1 / 1
Concord,225.0,0.6833333333333332,0.6,0.06469235192639448,0.05660377358490566,0.19111111111111112,0.2641509433962264,0.020833333333333332,0.1282051282051282,0.07046070460704607,2 / 96,10 / 78,26 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.6875,0.6376811594202898,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07604562737642585,0.018867924528301886,,,0.07142857142857142,0 / 0,0 / 0,2 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3929577464788732,0.1522633744855967,0.0,0.16666666666666666,0.18181818181818182,0 / 7,1 / 6,8 / 44
