City,Mean underproduction (by APN),Units built to units claimed ratio on matched sites (by APN),RHNA Success (by APN),Units permitted / claimed capacity (by APN),P(inventory) for homes built (by APN),P(inventory) for projects built (by APN),P(dev) for nonvacant sites (by APN),P(dev) for vacant sites (by APN),P(dev) for inventory (by APN),# nonvacant matches (by APN),# vacant matches (by APN),# matches (by APN),Mean underproduction (by conservative geomatching),Units built to units claimed ratio on matched sites (by conservative geomatching),RHNA Success (by conservative geomatching),Units permitted / claimed capacity (by conservative geomatching),P(inventory) for homes built (by conservative geomatching),P(inventory) for projects built (by conservative geomatching),P(dev) for nonvacant sites (by conservative geomatching),P(dev) for vacant sites (by conservative geomatching),P(dev) for inventory (by conservative geomatching),# nonvacant matches (by conservative geomatching),# vacant matches (by conservative geomatching),# matches (by conservative geomatching),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches,Mean underproduction (by APN or conservative geomatching),Units built to units claimed ratio on matched sites (by APN or conservative geomatching),RHNA Success (by APN or conservative geomatching),Units permitted / claimed capacity (by APN or conservative geomatching),P(inventory) for homes built (by APN or conservative geomatching),P(inventory) for projects built (by APN or conservative geomatching),P(dev) for nonvacant sites (by APN or conservative geomatching),P(dev) for vacant sites (by APN or conservative geomatching),P(dev) for inventory (by APN or conservative geomatching),# nonvacant matches (by APN or conservative geomatching),# vacant matches (by APN or conservative geomatching),# matches (by APN or conservative geomatching),Mean underproduction (by APN or lenient geomatching),Units built to units claimed ratio on matched sites (by APN or lenient geomatching),RHNA Success (by APN or lenient geomatching),Units permitted / claimed capacity (by APN or lenient geomatching),P(inventory) for homes built (by APN or lenient geomatching),P(inventory) for projects built (by APN or lenient geomatching),P(dev) for nonvacant sites (by APN or lenient geomatching),P(dev) for vacant sites (by APN or lenient geomatching),P(dev) for inventory (by APN or lenient geomatching),# nonvacant matches (by APN or lenient geomatching),# vacant matches (by APN or lenient geomatching),# matches (by APN or lenient geomatching)
Alameda,,,0.67382472431805,0.5171492204899777,0.0,0.0,0.0,0.0,0.0,0 / 7,0 / 11,0 / 18,0.7508772687986172,0.5805038335158818,0.67382472431805,0.5171492204899777,0.45650301464254955,0.022556390977443608,0.14285714285714285,0.18181818181818182,0.16666666666666666,1 / 7,2 / 11,3 / 18,0.6489505785713121,0.5087108013937283,0.67382472431805,0.5171492204899777,0.5030146425495263,0.05263157894736842,0.14285714285714285,0.18181818181818182,0.2777777777777778,1 / 7,2 / 11,5 / 18,0.7508772687986172,0.5805038335158818,0.67382472431805,0.5171492204899777,0.45650301464254955,0.022556390977443608,0.14285714285714285,0.18181818181818182,0.16666666666666666,1 / 7,2 / 11,3 / 18,0.6489505785713121,0.5087108013937283,0.67382472431805,0.5171492204899777,0.5030146425495263,0.05263157894736842,0.14285714285714285,0.18181818181818182,0.2777777777777778,1 / 7,2 / 11,5 / 18
Albany,,,0.7701492537313432,0.6339066339066339,0.0,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41,,,0.7701492537313432,0.6339066339066339,0.0,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.6821705426356589,0.02531645569620253,0.0,0.0,0.04878048780487805,0 / 17,0 / 8,2 / 41,,,0.7701492537313432,0.6339066339066339,0.0,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.6821705426356589,0.02531645569620253,0.0,0.0,0.04878048780487805,0 / 17,0 / 8,2 / 41
American Canyon,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,0.5,0.5,1.086021505376344,0.5401069518716578,0.009900990099009901,0.00980392156862745,0.013888888888888888,,0.013888888888888888,1 / 72,0 / 0,1 / 72,0.75,0.6666666666666666,1.086021505376344,0.5401069518716578,0.019801980198019802,0.0196078431372549,0.027777777777777776,,0.027777777777777776,2 / 72,0 / 0,2 / 72,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.0297029702970297,0.029411764705882353,0.027777777777777776,,0.041666666666666664,2 / 72,0 / 0,3 / 72,0.75,0.6666666666666666,1.086021505376344,0.5401069518716578,0.019801980198019802,0.0196078431372549,0.027777777777777776,,0.027777777777777776,2 / 72,0 / 0,2 / 72,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.0297029702970297,0.029411764705882353,0.027777777777777776,,0.041666666666666664,2 / 72,0 / 0,3 / 72
Belmont,1.0,1.0,0.31837606837606836,0.2933070866141732,0.04697986577181208,0.15217391304347827,0.0,0.1320754716981132,0.061946902654867256,0 / 11,7 / 53,7 / 113,1.0,1.0,0.31837606837606836,0.2933070866141732,0.26174496644295303,0.17391304347826086,0.0,0.1320754716981132,0.07079646017699115,0 / 11,7 / 53,8 / 113,1.0035211267605635,1.0256410256410255,0.31837606837606836,0.2933070866141732,0.7516778523489933,0.1956521739130435,0.0,0.1320754716981132,0.07964601769911504,0 / 11,7 / 53,9 / 113,1.0,1.0,0.31837606837606836,0.2933070866141732,0.2751677852348993,0.21739130434782608,0.0,0.16981132075471697,0.08849557522123894,0 / 11,9 / 53,10 / 113,1.0028169014084507,1.025,0.31837606837606836,0.2933070866141732,0.7651006711409396,0.2391304347826087,0.0,0.16981132075471697,0.09734513274336283,0 / 11,9 / 53,11 / 113
Belvedere,1.0,1.0,0.25,0.23529411764705882,0.25,0.16666666666666666,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17,,,0.25,0.23529411764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 17,0 / 17,,,0.25,0.23529411764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 17,0 / 17,1.0,1.0,0.25,0.23529411764705882,0.25,0.16666666666666666,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17,1.0,1.0,0.25,0.23529411764705882,0.25,0.16666666666666666,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
Benicia,0.9819808141042261,0.931098696461825,0.0672782874617737,0.03669541140560105,0.22727272727272727,0.22727272727272727,,0.04081632653061224,0.04040404040404041,0 / 0,4 / 98,4 / 99,0.7790083374502478,0.7894736842105263,0.0672782874617737,0.03669541140560105,0.4090909090909091,0.4090909090909091,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99,0.7790083374502478,0.7894736842105263,0.0672782874617737,0.03669541140560105,0.4090909090909091,0.4090909090909091,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99,0.9514221305536961,0.8771929824561403,0.0672782874617737,0.03669541140560105,0.45454545454545453,0.45454545454545453,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99,0.9514221305536961,0.8771929824561403,0.0672782874617737,0.03669541140560105,0.45454545454545453,0.45454545454545453,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99
Berkeley,1.4238971133867615,1.5668007622273976,0.5386955052382562,0.2967226480914069,0.04642409033877039,0.021341463414634148,0.011976047904191617,0.016877637130801686,0.01485148514851485,2 / 167,4 / 237,6 / 404,1.8477942267735232,1.6052453086140628,0.5386955052382562,0.2967226480914069,0.04454203262233375,0.012195121951219513,0.011976047904191617,0.004219409282700422,0.007425742574257425,2 / 167,1 / 237,3 / 404,1.6867709260908281,1.7953709712308024,0.5386955052382562,0.2967226480914069,0.052070263488080304,0.021341463414634148,0.011976047904191617,0.004219409282700422,0.012376237623762377,2 / 167,1 / 237,5 / 404,1.4238971133867615,1.5668007622273976,0.5386955052382562,0.2967226480914069,0.04642409033877039,0.021341463414634148,0.011976047904191617,0.016877637130801686,0.01485148514851485,2 / 167,4 / 237,6 / 404,1.57230910507569,1.7785305949608299,0.5386955052382562,0.2967226480914069,0.05269761606022585,0.024390243902439025,0.011976047904191617,0.016877637130801686,0.01485148514851485,2 / 167,4 / 237,6 / 404
Brentwood,2.0,2.0,3.042105263157895,2.1348107109879964,0.0008650519031141869,0.0008764241893076249,0.0,0.006060606060606061,0.005263157894736842,0 / 25,1 / 165,1 / 190,1.4040888798701299,1.1846153846153846,3.042105263157895,2.1348107109879964,0.11721453287197232,0.11875547765118318,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190,1.6654525162337661,1.2153846153846153,3.042105263157895,2.1348107109879964,0.1245674740484429,0.12620508326029797,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190,1.4040888798701299,1.1846153846153846,3.042105263157895,2.1348107109879964,0.11721453287197232,0.11875547765118318,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190,1.6654525162337661,1.2153846153846153,3.042105263157895,2.1348107109879964,0.1245674740484429,0.12620508326029797,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,1.6041666666666667,1.3333333333333333,0.4939759036144578,0.05401844532279315,0.4878048780487805,0.5882352941176471,0.022950819672131147,0.043859649122807015,0.028639618138424822,7 / 305,5 / 114,12 / 419,1.3892857142857142,0.8461538461538461,0.4939759036144578,0.05401844532279315,0.5365853658536586,0.6470588235294118,0.022950819672131147,0.06140350877192982,0.03341288782816229,7 / 305,7 / 114,14 / 419,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.022950819672131147,0.06140350877192982,0.0405727923627685,7 / 305,7 / 114,17 / 419,1.43,0.8888888888888888,0.4939759036144578,0.05401844532279315,0.5853658536585366,0.7058823529411765,0.02622950819672131,0.06140350877192982,0.03579952267303103,8 / 305,7 / 114,15 / 419,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.02622950819672131,0.06140350877192982,0.0405727923627685,8 / 305,7 / 114,17 / 419
Burlingame,5.278288740245262,5.823529411764706,0.5492468134414832,0.4121739130434783,0.8438818565400844,0.07272727272727272,0.04054054054054054,,0.05263157894736842,3 / 74,0 / 0,4 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.890295358649789,0.09090909090909091,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.890295358649789,0.09090909090909091,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
