City,P(dev),Vacant
Alameda,0.2857142857142857,nonvacant
Albany,0.0588235294117647,nonvacant
American Canyon,0.0,nonvacant
Antioch,0.0,nonvacant
Atherton,0.0416666666666666,nonvacant
Belmont,0.0909090909090909,nonvacant
Belvedere,,nonvacant
Benicia,,nonvacant
Berkeley,0.0119760479041916,nonvacant
Brentwood,0.04,nonvacant
Brisbane,0.0327868852459016,nonvacant
Burlingame,0.054054054054054,nonvacant
Calistoga,0.0,nonvacant
Campbell,0.091743119266055,nonvacant
Clayton,0.1818181818181818,nonvacant
Cloverdale,0.0909090909090909,nonvacant
Colma,,nonvacant
Concord,0.0208333333333333,nonvacant
Corte Madera,0.0,nonvacant
Cotati,0.0,nonvacant
Cupertino,,nonvacant
Daly City,0.0,nonvacant
Danville,0.2,nonvacant
Dixon,0.0,nonvacant
Dublin,0.037037037037037,nonvacant
East Palo Alto,0.0,nonvacant
El Cerrito,0.0,nonvacant
Emeryville,0.0,nonvacant
Fairfax,0.0263157894736842,nonvacant
Fairfield,0.0,nonvacant
Fremont,0.0638297872340425,nonvacant
Gilroy,0.0,nonvacant
Half Moon Bay,0.0833333333333333,nonvacant
Hayward,0.175438596491228,nonvacant
Healdsburg,0.0952380952380952,nonvacant
Hercules,,nonvacant
Lafayette,0.0625,nonvacant
Larkspur,0.0,nonvacant
Livermore,0.0851063829787234,nonvacant
Los Altos,0.0294117647058823,nonvacant
Los Altos Hills,0.042016806722689,nonvacant
Los Gatos,0.0,nonvacant
Martinez,0.0,nonvacant
Menlo Park,0.0576923076923076,nonvacant
Mill Valley,0.0,nonvacant
Millbrae,0.0,nonvacant
Milpitas,0.1666666666666666,nonvacant
Monte Sereno,0.0,nonvacant
Moraga,0.0,nonvacant
Morgan Hill,,nonvacant
Mountain View,0.2,nonvacant
Napa,0.081081081081081,nonvacant
Newark,0.1111111111111111,nonvacant
Novato,,nonvacant
Oakland,,nonvacant
Oakley,0.0,nonvacant
Pacifica,0.0,nonvacant
Palo Alto,0.0181818181818181,nonvacant
Petaluma,,nonvacant
Piedmont,,nonvacant
Pinole,0.0,nonvacant
Pittsburg,0.1428571428571428,nonvacant
Pleasant Hill,,nonvacant
Pleasanton,0.25,nonvacant
Portola Valley,,nonvacant
Redwood City,0.0,nonvacant
Richmond,,nonvacant
Rio Vista,,nonvacant
Rohnert Park,0.0,nonvacant
Ross,0.0,nonvacant
San Anselmo,0.0434782608695652,nonvacant
San Bruno,0.3333333333333333,nonvacant
San Carlos,0.0222929936305732,nonvacant
San Francisco,0.0441890166028097,nonvacant
San Jose,0.089430894308943,nonvacant
San Leandro,0.0,nonvacant
San Mateo,0.0666666666666666,nonvacant
San Pablo,0.0,nonvacant
San Rafael,0.125,nonvacant
San Ramon,0.0,nonvacant
Santa Clara,0.0531400966183574,nonvacant
Santa Rosa,,nonvacant
Saratoga,0.0,nonvacant
Sausalito,0.0166666666666666,nonvacant
Sebastopol,,nonvacant
Sonoma,0.0,nonvacant
South San Francisco,0.12,nonvacant
Suisun City,0.0,nonvacant
Sunnyvale,0.0650684931506849,nonvacant
Tiburon,0.0,nonvacant
Union City,0.1666666666666666,nonvacant
Vacaville,0.0,nonvacant
Vallejo,,nonvacant
Walnut Creek,0.0082644628099173,nonvacant
Windsor,0.0,nonvacant
Woodside,,nonvacant
Yountville,0.0,nonvacant
Alameda,0.2727272727272727,vacant
Albany,0.125,vacant
American Canyon,0.0,vacant
Antioch,0.0,vacant
Atherton,,vacant
Belmont,0.1698113207547169,vacant
Belvedere,0.0588235294117647,vacant
Benicia,0.0510204081632653,vacant
Berkeley,0.0168776371308016,vacant
Brentwood,0.0787878787878787,vacant
Brisbane,0.0614035087719298,vacant
Burlingame,,vacant
Calistoga,0.0666666666666666,vacant
