City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.7359487470694805,0.6202090592334495,0.67382472431805,0.5171492204899777,0.46369710467706016,0.6132644272179156,0.07518796992481203,0.2857142857142857,0.2727272727272727,0.2777777777777778,2 / 7,3 / 11,5 / 18
Albany,258.0,0.6944444444444443,0.9414893617021277,0.7701492537313432,0.6339066339066339,0.5257985257985258,0.7441860465116279,0.17721518987341772,0.058823529411764705,0.25,0.0975609756097561,1 / 17,2 / 8,4 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.4007981559844497,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.37759562841530053,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.7666666666666667,0.625,1.086021505376344,0.5401069518716578,0.7433155080213903,0.04950495049504951,0.049019607843137254,0.06944444444444445,,0.06944444444444445,5 / 72,0 / 0,5 / 72
Belmont,149.0,1.0031298904538342,1.0253164556962024,0.31837606837606836,0.2933070866141732,0.18700787401574803,0.7583892617449665,0.21739130434782608,0.09090909090909091,0.1509433962264151,0.08849557522123894,1 / 11,8 / 53,10 / 113
Belvedere,4.0,,,0.25,0.23529411764705882,1.0,0.0,0.0,,0.0,0.0,0 / 0,0 / 17,0 / 17
Benicia,22.0,0.9062304602686696,0.8547008547008547,0.0672782874617737,0.03669541140560105,0.03669541140560105,0.5,0.5,,0.061224489795918366,0.06060606060606061,0 / 0,6 / 98,6 / 99
Berkeley,1594.0,2.7081079637999457,3.10065794449066,0.5386955052382562,0.2967226480914069,0.26675254373587587,0.2572145545796738,0.06097560975609756,0.029940119760479042,0.0379746835443038,0.034653465346534656,5 / 167,9 / 237,14 / 404
Brentwood,2312.0,1.4757729664659012,1.0457142857142858,3.042105263157895,2.1348107109879964,2.0295475530932596,0.14230103806228372,0.1441717791411043,0.04,0.10909090909090909,0.1,1 / 25,18 / 165,19 / 190
Brisbane,41.0,1.3921052631578947,0.9354838709677419,0.4939759036144578,0.05401844532279315,0.03689064558629776,0.7073170731707317,0.8529411764705882,0.03934426229508197,0.06140350877192982,0.045346062052505964,12 / 305,7 / 114,19 / 419
Burlingame,474.0,3.421973244147158,2.8120805369127515,0.5492468134414832,0.4121739130434783,0.42782608695652175,0.8945147679324894,0.12727272727272726,0.06756756756756757,,0.07894736842105263,5 / 74,0 / 0,6 / 76
