City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.7508772687986172,0.5805038335158818,0.67382472431805,0.5171492204899777,0.45650301464254955,0.022556390977443608,0.14285714285714285,0.18181818181818182,0.16666666666666666,1 / 7,2 / 11,3 / 18
Albany,258.0,,,0.7701492537313432,0.6339066339066339,0.0,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.75,0.6666666666666666,1.086021505376344,0.5401069518716578,0.019801980198019802,0.0196078431372549,0.027777777777777776,,0.027777777777777776,2 / 72,0 / 0,2 / 72
Belmont,149.0,1.0,1.0,0.31837606837606836,0.2933070866141732,0.26174496644295303,0.17391304347826086,0.0,0.1320754716981132,0.07079646017699115,0 / 11,7 / 53,8 / 113
Belvedere,4.0,,,0.25,0.23529411764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 17,0 / 17
Benicia,22.0,0.7790083374502478,0.7894736842105263,0.0672782874617737,0.03669541140560105,0.4090909090909091,0.4090909090909091,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99
Berkeley,1594.0,1.8477942267735232,1.6052453086140628,0.5386955052382562,0.2967226480914069,0.04454203262233375,0.012195121951219513,0.011976047904191617,0.004219409282700422,0.007425742574257425,2 / 167,1 / 237,3 / 404
Brentwood,2312.0,1.4040888798701299,1.1846153846153846,3.042105263157895,2.1348107109879964,0.11721453287197232,0.11875547765118318,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,41.0,1.3892857142857142,0.8461538461538461,0.4939759036144578,0.05401844532279315,0.5365853658536586,0.6470588235294118,0.022950819672131147,0.06140350877192982,0.03341288782816229,7 / 305,7 / 114,14 / 419
Burlingame,474.0,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.890295358649789,0.09090909090909091,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,86.0,,,3.185185185185185,0.20187793427230047,0.011627906976744186,0.02631578947368421,0.0,0.0,0.03125,0 / 2,0 / 15,1 / 32
Campbell,413.0,2.2867758467023176,2.0873015873015874,0.44265809217577706,0.3619631901840491,0.6368038740920097,0.18,0.08256880733944955,0.16666666666666666,0.08661417322834646,9 / 109,2 / 12,11 / 127
Clayton,10.0,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,1.0442028985507246,0.875,0.5402843601895735,0.20577617328519857,0.30701754385964913,0.10256410256410256,0.09090909090909091,0.10344827586206896,0.06451612903225806,1 / 11,3 / 29,4 / 62
Colma,75.0,,,1.271186440677966,2.8846153846153846,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 1
Concord,225.0,0.7060606060606059,0.8,0.06469235192639448,0.05660377358490566,0.10666666666666667,0.20754716981132076,0.010416666666666666,0.1282051282051282,0.056910569105691054,1 / 96,10 / 78,21 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.4375,0.5072463768115942,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3732394366197183,0.12345679012345678,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,545.0,1.0783817951959545,2.0365853658536586,0.9784560143626571,0.6646341463414634,0.691743119266055,0.3360323886639676,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
Dixon,185.0,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
