City,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,0.0,0.0,0.0,0 / 7,0 / 11,0 / 18
Albany,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41
American Canyon,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,0.0,,0.0,0 / 72,0 / 0,0 / 72
Belmont,0.0,0.05660377358490566,0.02654867256637168,0 / 11,3 / 53,3 / 113
Belvedere,,0.0,0.0,0 / 0,0 / 17,0 / 17
Benicia,,0.02040816326530612,0.020202020202020204,0 / 0,2 / 98,2 / 99
Berkeley,0.0,0.0,0.0,0 / 167,0 / 237,0 / 404
Brentwood,0.0,0.0,0.0,0 / 25,0 / 165,0 / 190
Brisbane,0.013114754098360656,0.008771929824561403,0.011933174224343675,4 / 305,1 / 114,5 / 419
Burlingame,0.013513513513513514,,0.013157894736842105,1 / 74,0 / 0,1 / 76
Calistoga,0.0,0.0,0.0,0 / 2,0 / 15,0 / 32
Campbell,0.027522935779816515,0.0,0.023622047244094488,3 / 109,0 / 12,3 / 127
Clayton,0.0,0.0,0.0,0 / 11,0 / 8,0 / 23
Cloverdale,0.0,0.0,0.0,0 / 11,0 / 29,0 / 62
Colma,,,0.0,0 / 0,0 / 0,0 / 1
Concord,0.0,0.0,0.0,0 / 96,0 / 78,0 / 369
Corte Madera,0.0,0.0,0.0,0 / 1,0 / 10,0 / 11
Cotati,0.0,0.0,0.0,0 / 7,0 / 31,0 / 85
Cupertino,,,0.0,0 / 0,0 / 0,0 / 28
Daly City,0.0,0.0,0.0,0 / 7,0 / 6,0 / 44
Danville,0.0,0.0,0.0,0 / 25,0 / 12,0 / 84
Dixon,0.0,0.0,0.0,0 / 2,0 / 11,0 / 19
Dublin,0.0,0.0,0.0,0 / 54,0 / 24,0 / 78
East Palo Alto,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,0.0,0.0,0.0,0 / 6,0 / 77,0 / 119
Emeryville,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,0.0,0.0,0.0,0 / 38,0 / 14,0 / 52
Fairfield,0.0,0.0,0.0,0 / 2,0 / 77,0 / 86
Fremont,0.0,0.0,0.0,0 / 141,0 / 21,0 / 162
Gilroy,0.0,0.0,0.0,0 / 3,0 / 5,0 / 39
Half Moon Bay,0.0,0.0,0.0,0 / 12,0 / 327,0 / 649
Hayward,0.0,0.0,0.0,0 / 57,0 / 38,0 / 183
Healdsburg,0.0,0.0,0.0,0 / 21,0 / 36,0 / 60
Hercules,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,0.0,0.0,0.0,0 / 16,0 / 3,0 / 72
Larkspur,0.0,,0.0,0 / 3,0 / 0,0 / 19
Livermore,0.0,0.0,0.0,0 / 94,0 / 103,0 / 202
