City,P(dev) for inventory,P(dev) for inventory (100 ft buffer),P(dev) for nonvacant sites,P(dev) for nonvacant sites (100 ft buffer),P(dev) for vacant sites,P(dev) for vacant sites (100 ft buffer)
Alameda,27.8%,27.8%,28.6%,28.6%,27.3%,27.3%
Albany,4.9%,9.8%,5.9%,5.9%,12.5%,25.0%
American Canyon,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Antioch,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Atherton,4.2%,6.9%,4.2%,6.9%,N/A,N/A
Belmont,9.7%,10.6%,9.1%,9.1%,17.0%,18.9%
Belvedere,5.9%,5.9%,N/A,N/A,5.9%,5.9%
Benicia,5.1%,6.1%,N/A,N/A,5.1%,6.1%
Berkeley,1.5%,3.5%,1.2%,3.0%,1.7%,3.8%
Brentwood,7.4%,10.0%,4.0%,4.0%,7.9%,10.9%
Brisbane,4.1%,4.5%,3.3%,3.9%,6.1%,6.1%
Burlingame,6.6%,7.9%,5.4%,6.8%,N/A,N/A
Calistoga,9.4%,12.5%,0.0%,50.0%,6.7%,6.7%
Campbell,9.4%,9.4%,9.2%,9.2%,16.7%,16.7%
Clayton,8.7%,8.7%,18.2%,18.2%,0.0%,0.0%
Cloverdale,12.9%,16.1%,9.1%,18.2%,24.1%,27.6%
Colma,100.0%,100.0%,N/A,N/A,N/A,N/A
Concord,6.5%,7.9%,2.1%,4.2%,12.8%,14.1%
Corte Madera,27.3%,27.3%,0.0%,0.0%,30.0%,30.0%
Cotati,41.2%,42.4%,0.0%,0.0%,0.0%,0.0%
Cupertino,3.6%,7.1%,N/A,N/A,N/A,N/A
Daly City,15.9%,20.5%,0.0%,0.0%,16.7%,16.7%
Danville,13.1%,16.7%,20.0%,28.0%,0.0%,0.0%
Dixon,26.3%,31.6%,0.0%,0.0%,36.4%,36.4%
Dublin,3.8%,6.4%,3.7%,3.7%,4.2%,12.5%
East Palo Alto,0.0%,5.1%,0.0%,7.4%,0.0%,0.0%
El Cerrito,3.4%,5.9%,0.0%,0.0%,3.9%,7.8%
Emeryville,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Fairfax,1.9%,1.9%,2.6%,2.6%,0.0%,0.0%
Fairfield,1.2%,2.3%,0.0%,0.0%,1.3%,1.3%
Fremont,6.8%,10.5%,6.4%,10.6%,9.5%,9.5%
Gilroy,17.9%,20.5%,0.0%,0.0%,0.0%,20.0%
Half Moon Bay,3.7%,4.5%,8.3%,16.7%,6.4%,7.3%
Hayward,10.4%,12.6%,17.5%,21.1%,5.3%,7.9%
Healdsburg,8.3%,15.0%,9.5%,14.3%,8.3%,16.7%
Hercules,0.0%,7.1%,N/A,N/A,0.0%,7.1%
Lafayette,2.8%,4.2%,6.2%,6.2%,33.3%,33.3%
Larkspur,5.3%,5.3%,0.0%,0.0%,N/A,N/A
Livermore,14.9%,16.8%,8.5%,9.6%,21.4%,24.3%
Los Altos,12.3%,21.1%,2.9%,11.8%,26.1%,34.8%
Los Altos Hills,7.9%,10.1%,4.2%,6.7%,26.7%,26.7%
Los Gatos,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Martinez,3.0%,3.4%,0.0%,0.0%,3.3%,3.7%
Menlo Park,5.7%,6.9%,5.8%,6.7%,5.4%,8.1%
Mill Valley,1.8%,3.6%,0.0%,0.0%,3.3%,6.7%
Millbrae,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Milpitas,7.0%,7.6%,16.7%,16.7%,0.0%,0.0%
Monte Sereno,0.0%,0.0%,0.0%,0.0%,N/A,N/A
Moraga,2.4%,7.3%,0.0%,0.0%,2.9%,5.9%
Morgan Hill,21.2%,26.2%,N/A,N/A,21.2%,26.2%
Mountain View,12.9%,14.0%,20.0%,20.0%,28.6%,28.6%
Napa,7.1%,9.1%,8.1%,10.8%,9.5%,11.9%
Newark,16.3%,17.0%,11.1%,22.2%,25.0%,25.0%
Novato,2.9%,4.4%,N/A,N/A,N/A,N/A
Oakland,7.5%,13.0%,N/A,N/A,N/A,N/A
Oakley,14.3%,14.3%,0.0%,0.0%,100.0%,100.0%
Pacifica,0.0%,2.3%,0.0%,5.6%,0.0%,0.0%
Palo Alto,1.8%,3.6%,1.8%,3.6%,0.0%,0.0%
